"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J215,J118,J166,J183,J128,J165,J150,J203,J74,J76,J86,J151,J106,J137,J188,J139,J104,J194,J157,J68,J120,J41,J117,J178,J52,J58,J177,J211,J24,J16,J17,J197,J204,J134,J143,J217,J34,J56,J29,J23,J132,J172,J107,J96,J189,J8,J196,J57,J40,J36,J99,J205,J59,J3,J101,J142,J193,J67,J131,J18,J123,J7,J167,J64,J9,J116,J108,J61,J213,J39,J154,J115,J77,J124,J174,J91,J158,J54,J27,J22,J2,J21,J62,J92,J186,J19,J168,J156,J28,J133,J160,J45,J161,J114,J11,J69,J185,J50,J195,J182,J112,J25,J119,J60,J75,J109,J149,J83,J181,J73,J163,J93,J184,J48,J111,J136,J88,J147,J46,J199,J145,J15,J200,J79,J210,J144,J95,J155,J47,J176,J20,J125,J190,J5,J141,J130,J89,J87,J207,J100,J121,J201,J206,J33,J146,J51,J42,J63,J98,J105,J13,J97,J135,J110,J14,J122,J113,J169,J103,J216,J32,J159,J129,J209,J208,J38,J31,J71,J65,J44,J66,J53,J212,J10,J198,J70,J164,J12,J192,J72,J78,J30,J82,J127,J148,J152,J138,J214,J43,J191,J6,J4,J179,J55,J94,J35,J170,J37,J84,J171,J102,J180,J85,J80,J202,J187,J175,J153,J26,J140,J90,J126,J49,J81,J173,J162";"PinSocket_1x01_P2.00mm_Vertical";216;"Conn_01x01_Socket";;;
2;"SW4,SW7,SW1,SW8,SW2,SW3,SW6,SW5";"SW_ATE1D-2M3-10-Z";8;"SW_Nidec_CAS-120A1";;;
3;"D17,D6,D15,D10,D12,D13,D4,D8,D11,D5,D14,D3,D16,D2,D9,D7,D20,D1";"LED_D5.0mm";18;"LED";;;
4;"IC3-7408";"DIP794W45P254L1969H508Q14";1;"SN7408";;;
5;"U17";"KCSC02-107";1;"KCSA02-107";;;
6;"IC8-7486";"DIP794W45P254L1969H508Q14";1;"SN7486";;;
7;"SW16";"Push_E-Switch_KS01Q01";1;"SW_Push_Open_Dual";;;
8;"IC6-7490";"DIP254P762X508-14";1;"74LS90";;;
9;"J-K_F.F,J-K_F.F";"DIP794W45P254L1930H508Q16";2;"J-K F.F";;;
10;"J1";"3M_240-1280-00-0602J";1;"240-1280-00-0602J";;;
11;"IC2-7402";"DIP794W45P254L1969H508Q14";1;"SN7402";;;
12;"IC4-7432";"DIP794W45P254L1969H508Q14";1;"SN7432N";;;
13;"IC5-7404";"DIP794W45P254L1969H508Q14";1;"SN74HC04N";;;
14;"IC1-7400";"DIP794W45P254L1969H508Q14";1;"SN7400N";;;
15;"IC7-7495";"DIP794W45P254L1969H508Q16";1;"74LS95";;;
16;"R12,R8,R35,R14,R21,R16,R29,R23,R25,R27,R10,R31,R18,R4,R33,R6";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";16;"330Ω";;;
